                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.869,                 1.3758,                  1.238,                0.78443,                0.69807,                0.77355,                0.42406,                 1.6104,                 0.8775,                 1.1239,              0.0033268,              0.0033268,              0.0033268
                      2,                 1.6272,                 0.8554,                 1.1065,                0.82361,                0.73618,                0.81524,                0.47256,                 1.4997,                0.81927,                 1.0804,              0.0065942,              0.0065942,              0.0065942
                      3,                 1.6187,                0.83975,                 1.0923,                0.82875,                  0.723,                0.80248,                 0.4752,                 1.4857,                0.80689,                  1.076,              0.0097956,              0.0097956,              0.0097956
                      4,                 1.5798,                 0.8093,                 1.0743,                0.83578,                0.75235,                0.82311,                 0.4896,                 1.4805,                0.74398,                  1.069,               0.009703,               0.009703,               0.009703
                      5,                 1.5404,                0.78095,                 1.0583,                0.85028,                0.76993,                0.84878,                0.51203,                 1.4245,                 0.7241,                 1.0409,               0.009604,               0.009604,               0.009604
                      6,                  1.514,                0.75566,                 1.0447,                0.86055,                0.76699,                0.84685,                0.51373,                 1.4219,                0.71061,                 1.0442,               0.009505,               0.009505,               0.009505
                      7,                 1.4916,                0.73733,                 1.0385,                0.86456,                  0.781,                0.85919,                 0.5237,                 1.4106,                0.68899,                 1.0298,               0.009406,               0.009406,               0.009406
                      8,                 1.4755,                0.72458,                 1.0354,                0.87213,                0.77687,                0.85735,                0.52158,                  1.417,                0.68523,                  1.037,               0.009307,               0.009307,               0.009307
                      9,                 1.4681,                0.71553,                  1.029,                0.86602,                0.78602,                0.85798,                0.53049,                 1.3937,                0.67024,                 1.0284,               0.009208,               0.009208,               0.009208
                     10,                 1.4597,                0.70796,                 1.0256,                0.87573,                0.79103,                0.86661,                0.53533,                 1.3839,                0.65958,                 1.0217,               0.009109,               0.009109,               0.009109
                     11,                 1.4531,                0.70094,                 1.0218,                 0.8709,                0.79096,                0.86366,                0.53124,                 1.3971,                0.66305,                 1.0251,                0.00901,                0.00901,                0.00901
                     12,                 1.4459,                0.69376,                 1.0198,                0.87973,                0.78758,                0.86597,                0.53881,                 1.3763,                0.65017,                 1.0149,               0.008911,               0.008911,               0.008911
                     13,                 1.4349,                0.68716,                 1.0185,                0.87956,                0.80289,                0.87398,                0.54324,                 1.3823,                0.63953,                 1.0197,               0.008812,               0.008812,               0.008812
                     14,                  1.436,                0.68138,                 1.0157,                0.88324,                0.80244,                0.87524,                0.54401,                 1.3727,                0.63626,                 1.0139,               0.008713,               0.008713,               0.008713
                     15,                 1.4315,                0.67875,                 1.0143,                0.87946,                0.79859,                0.87615,                0.54653,                  1.366,                0.64181,                 1.0111,               0.008614,               0.008614,               0.008614
                     16,                 1.4262,                0.67494,                 1.0116,                0.88152,                0.80546,                0.87396,                  0.545,                  1.372,                0.63124,                 1.0133,               0.008515,               0.008515,               0.008515
                     17,                 1.4199,                0.66914,                 1.0106,                0.88353,                 0.8056,                0.88028,                0.55069,                 1.3664,                 0.6334,                 1.0091,               0.008416,               0.008416,               0.008416
                     18,                 1.4219,                0.66952,                 1.0067,                0.88808,                 0.8086,                0.88305,                0.55487,                 1.3561,                0.61893,                 1.0076,               0.008317,               0.008317,               0.008317
                     19,                 1.4128,                0.66276,                 1.0079,                0.89145,                0.80569,                0.88419,                 0.5552,                 1.3522,                 0.6219,                 1.0031,               0.008218,               0.008218,               0.008218
                     20,                 1.4131,                0.66309,                 1.0071,                0.89091,                0.80436,                0.88059,                0.55277,                 1.3588,                0.61773,                 1.0073,               0.008119,               0.008119,               0.008119
                     21,                 1.4038,                0.65515,                 1.0032,                0.89102,                0.81162,                0.88596,                0.55689,                 1.3504,                0.60879,                 1.0038,                0.00802,                0.00802,                0.00802
                     22,                 1.4041,                 0.6553,                 1.0053,                0.88868,                0.81247,                0.88373,                0.55617,                 1.3503,                0.61341,                 1.0016,               0.007921,               0.007921,               0.007921
                     23,                 1.4029,                0.65457,                  1.005,                0.88794,                0.80921,                0.88455,                 0.5568,                 1.3504,                0.61535,                 1.0025,               0.007822,               0.007822,               0.007822
                     24,                 1.4024,                0.65216,                 1.0041,                0.89272,                 0.8139,                0.88792,                0.55801,                 1.3505,                0.60963,                 1.0005,               0.007723,               0.007723,               0.007723
                     25,                 1.3953,                0.64722,                 1.0009,                0.89505,                0.81244,                0.88813,                0.56059,                 1.3439,                0.60088,                 1.0016,               0.007624,               0.007624,               0.007624
                     26,                  1.391,                0.64569,                 1.0005,                0.89369,                 0.8186,                0.88943,                0.56274,                 1.3426,                0.60014,                0.99748,               0.007525,               0.007525,               0.007525
                     27,                 1.3895,                0.64307,                 0.9989,                 0.8908,                0.81536,                0.88822,                0.56017,                 1.3463,                0.59949,                 1.0009,               0.007426,               0.007426,               0.007426
                     28,                 1.3918,                0.64242,                 1.0006,                0.89679,                0.81375,                0.89032,                0.56249,                 1.3372,                0.59713,                0.99655,               0.007327,               0.007327,               0.007327
                     29,                 1.3865,                0.63834,                0.99544,                0.89289,                0.81823,                 0.8902,                0.56299,                 1.3359,                0.60135,                0.99526,               0.007228,               0.007228,               0.007228
                     30,                 1.3879,                0.63692,                0.99531,                0.89143,                0.81983,                0.89113,                 0.5641,                 1.3354,                0.59782,                 0.9938,               0.007129,               0.007129,               0.007129
                     31,                 1.3838,                0.63566,                0.99463,                 0.8962,                0.81837,                0.89147,                0.56614,                 1.3328,                0.59102,                0.99583,                0.00703,                0.00703,                0.00703
                     32,                 1.3873,                0.63575,                0.99581,                0.89725,                0.82255,                0.89452,                0.56742,                 1.3341,                 0.5901,                 0.9942,               0.006931,               0.006931,               0.006931
                     33,                  1.381,                0.63169,                0.99558,                0.89919,                0.82197,                0.89496,                0.56842,                 1.3342,                0.58494,                0.99461,               0.006832,               0.006832,               0.006832
                     34,                 1.3781,                0.63025,                0.99498,                0.90252,                0.81941,                0.89542,                0.56875,                 1.3303,                0.58571,                0.99362,               0.006733,               0.006733,               0.006733
                     35,                 1.3786,                0.63023,                0.99247,                0.89748,                 0.8256,                 0.8939,                0.56829,                 1.3319,                0.58223,                0.99367,               0.006634,               0.006634,               0.006634
                     36,                 1.3785,                0.62875,                0.99249,                0.89567,                0.82549,                0.89555,                 0.5699,                 1.3291,                0.58312,                0.99306,               0.006535,               0.006535,               0.006535
                     37,                  1.374,                0.62711,                0.99293,                0.89713,                0.82559,                 0.8968,                0.57081,                 1.3286,                 0.5804,                0.99194,               0.006436,               0.006436,               0.006436
                     38,                 1.3735,                0.62585,                0.99265,                0.89667,                0.82819,                0.89573,                0.56976,                 1.3296,                0.58055,                0.99271,               0.006337,               0.006337,               0.006337
                     39,                 1.3716,                0.62432,                0.99154,                0.89592,                0.82717,                 0.8967,                0.57023,                 1.3275,                  0.581,                0.99071,               0.006238,               0.006238,               0.006238
                     40,                 1.3731,                0.62376,                 0.9906,                0.90041,                0.82586,                0.89654,                0.57191,                  1.326,                0.57483,                0.99048,               0.006139,               0.006139,               0.006139
                     41,                 1.3669,                0.62035,                0.98919,                0.90303,                 0.8247,                0.89878,                 0.5732,                 1.3238,                0.57689,                0.98828,                0.00604,                0.00604,                0.00604
                     42,                 1.3679,                0.62149,                0.98896,                0.90203,                0.82784,                0.89776,                0.57217,                 1.3213,                0.57553,                 0.9889,               0.005941,               0.005941,               0.005941
                     43,                 1.3678,                0.61989,                0.99193,                0.89789,                0.83047,                0.89824,                0.57358,                 1.3206,                0.57503,                0.98813,               0.005842,               0.005842,               0.005842
                     44,                 1.3706,                0.62138,                0.98947,                0.90203,                0.82706,                0.89891,                0.57443,                 1.3209,                0.57288,                0.98905,               0.005743,               0.005743,               0.005743
                     45,                 1.3637,                 0.6174,                0.98801,                 0.9031,                0.82794,                0.89986,                0.57417,                 1.3224,                0.57085,                0.99039,               0.005644,               0.005644,               0.005644
                     46,                 1.3653,                0.61736,                0.98577,                0.90514,                0.82826,                0.89958,                0.57491,                 1.3193,                0.57014,                0.98763,               0.005545,               0.005545,               0.005545
                     47,                 1.3636,                 0.6155,                0.98635,                 0.9024,                0.82785,                0.90063,                0.57523,                 1.3179,                0.57227,                0.98694,               0.005446,               0.005446,               0.005446
                     48,                 1.3604,                0.61396,                0.98608,                0.90184,                0.83165,                0.90114,                0.57558,                 1.3182,                 0.5685,                0.98701,               0.005347,               0.005347,               0.005347
                     49,                 1.3592,                0.61234,                0.98359,                0.90269,                0.83022,                 0.9012,                0.57581,                 1.3183,                0.56723,                0.98764,               0.005248,               0.005248,               0.005248
                     50,                 1.3552,                0.61072,                0.98491,                0.90278,                0.82999,                0.90081,                  0.576,                 1.3167,                0.56643,                0.98596,               0.005149,               0.005149,               0.005149
                     51,                 1.3579,                0.61061,                0.98341,                0.90288,                0.83023,                0.90012,                0.57617,                 1.3179,                0.56552,                0.98709,                0.00505,                0.00505,                0.00505
                     52,                 1.3587,                0.61125,                0.98423,                0.90192,                0.83354,                0.90205,                  0.577,                  1.316,                0.56485,                0.98617,               0.004951,               0.004951,               0.004951
                     53,                 1.3557,                0.60855,                 0.9857,                0.90291,                0.83179,                0.90267,                0.57716,                 1.3161,                0.56446,                0.98566,               0.004852,               0.004852,               0.004852
                     54,                 1.3556,                0.60837,                 0.9846,                0.90328,                0.83305,                0.90271,                0.57758,                 1.3147,                0.56323,                0.98534,               0.004753,               0.004753,               0.004753
                     55,                 1.3529,                0.60601,                0.98283,                0.90329,                0.83423,                0.90331,                 0.5777,                 1.3156,                0.56324,                0.98532,               0.004654,               0.004654,               0.004654
                     56,                 1.3532,                0.60602,                0.98441,                 0.9041,                0.83251,                0.90276,                0.57814,                 1.3146,                 0.5625,                0.98566,               0.004555,               0.004555,               0.004555
                     57,                 1.3525,                0.60487,                0.98472,                0.90393,                0.83491,                0.90372,                0.57839,                 1.3138,                 0.5625,                0.98461,               0.004456,               0.004456,               0.004456
                     58,                 1.3521,                0.60392,                 0.9824,                0.90216,                0.83569,                0.90257,                0.57847,                 1.3135,                 0.5607,                0.98496,               0.004357,               0.004357,               0.004357
                     59,                 1.3445,                0.60159,                0.98302,                0.90644,                0.83255,                0.90233,                0.57828,                 1.3141,                 0.5603,                0.98494,               0.004258,               0.004258,               0.004258
                     60,                 1.3514,                0.60246,                0.98231,                0.90417,                0.83251,                0.90234,                0.57774,                 1.3131,                0.56133,                0.98394,               0.004159,               0.004159,               0.004159
                     61,                 1.3438,                0.59963,                0.98111,                0.90583,                0.83251,                0.90266,                0.57889,                 1.3126,                  0.559,                0.98428,                0.00406,                0.00406,                0.00406
                     62,                 1.3463,                0.60031,                0.98187,                0.90625,                0.83238,                0.90321,                0.57913,                 1.3124,                0.55928,                0.98403,               0.003961,               0.003961,               0.003961
                     63,                 1.3414,                0.59722,                0.97851,                0.90593,                0.83336,                0.90338,                 0.5794,                 1.3119,                0.55882,                0.98351,               0.003862,               0.003862,               0.003862
                     64,                 1.3445,                0.59994,                0.98197,                0.90544,                0.83476,                0.90367,                0.57954,                 1.3121,                0.55765,                0.98384,               0.003763,               0.003763,               0.003763
                     65,                 1.3405,                0.59651,                0.97953,                0.90543,                0.83502,                0.90315,                0.57942,                 1.3121,                0.55696,                0.98348,               0.003664,               0.003664,               0.003664
                     66,                 1.3411,                0.59564,                0.97937,                 0.9064,                0.83409,                0.90367,                0.57966,                 1.3124,                0.55708,                0.98359,               0.003565,               0.003565,               0.003565
                     67,                 1.3428,                0.59676,                 0.9788,                0.90661,                0.83552,                0.90403,                0.57994,                 1.3116,                0.55642,                0.98328,               0.003466,               0.003466,               0.003466
                     68,                 1.3401,                0.59595,                0.97687,                0.90689,                0.83622,                 0.9053,                0.58063,                 1.3113,                0.55622,                0.98274,               0.003367,               0.003367,               0.003367
                     69,                 1.3365,                 0.5927,                0.97655,                0.90645,                 0.8369,                0.90564,                0.58113,                 1.3107,                0.55518,                 0.9827,               0.003268,               0.003268,               0.003268
                     70,                 1.3412,                0.59338,                 0.9792,                0.90535,                0.83865,                0.90546,                  0.581,                   1.31,                0.55456,                0.98272,               0.003169,               0.003169,               0.003169
